job_link,job_title,company_link,company
https://www.104.com.tw/job/4kwzw?jobsource=jolist_c_relevance,人工智能視覺軟體研發工程師,https://www.104.com.tw/company/1a2x6bjcan?jobsource=jolist_c_relevance,易諾科技有限公司
https://www.104.com.tw/job/6zvac?jobsource=jolist_c_relevance,數據分析工程師-學生實習,https://www.104.com.tw/company/1a2x6bl0ew?jobsource=jolist_c_relevance,聚典資訊股份有限公司
https://www.104.com.tw/job/4xrix?jobsource=jolist_c_relevance,AI Optimization/Operations Research (OR) Scientist_Delta Research Center (Taipei),https://www.104.com.tw/company/fn5mtmo?jobsource=jolist_c_relevance,台達電子工業股份有限公司 _DELTA ELECTRONICS INC.
https://www.104.com.tw/job/6mz7c?jobsource=jolist_c_relevance,實習生 (Intern),https://www.104.com.tw/company/1a2x6bkurp?jobsource=jolist_c_relevance,羅傑斯人工智能股份有限公司
https://www.104.com.tw/job/6zv32?jobsource=jolist_c_relevance,影像辨識工程師-學生實習,https://www.104.com.tw/company/1a2x6bl0ew?jobsource=jolist_c_relevance,聚典資訊股份有限公司
https://www.104.com.tw/job/6nmju?jobsource=jolist_c_relevance,大數據工程師,https://www.104.com.tw/company/cv8shww?jobsource=jolist_c_relevance,艾斯移動股份有限公司
https://www.104.com.tw/job/6ur2n?jobsource=jolist_c_relevance,專任或兼任研究助理(中研院詞庫小組CKIP(馬偉雲老師實驗室)),https://www.104.com.tw/company/1wi8fyw?jobsource=jolist_c_relevance,中央研究院資訊科學研究所
https://www.104.com.tw/job/6icor?jobsource=jolist_c_relevance,專任研究助理(馬偉雲老師實驗室中研院詞庫小組),https://www.104.com.tw/company/1wi8fyw?jobsource=jolist_c_relevance,中央研究院資訊科學研究所
https://www.104.com.tw/job/5l6qm?jobsource=landmarkPOC_C&landType=R,資料科學家 Data Scientist 專職/長期實習,https://www.104.com.tw/company/1a2x6bk0hw?jobsource=jolist_c_relevance,塞席爾商悠福科技股份有限公司
https://www.104.com.tw/job/4xrix?jobsource=jolist_c_relevance,AI Optimization/Operations Research (OR) Scientist_Delta Research Center (Taipei),https://www.104.com.tw/company/fn5mtmo?jobsource=jolist_c_relevance,台達電子工業股份有限公司 _DELTA ELECTRONICS INC.
https://www.104.com.tw/job/4vlpf?jobsource=landmarkPOC_C&landType=R,Python 資料工程師 / 數據工程師,https://www.104.com.tw/company/1a2x6biyat?jobsource=jolist_c_relevance,玩咖旅行社股份有限公司
https://www.104.com.tw/job/6rj5s?jobsource=jolist_c_relevance,[學生實習/工讀] 軟體工程師( Java/ Python),https://www.104.com.tw/company/cv8shww?jobsource=jolist_c_relevance,艾斯移動股份有限公司
https://www.104.com.tw/job/6nmld?jobsource=jolist_c_relevance,自然語言處理工程師 (NLP Engineer),https://www.104.com.tw/company/cv8shww?jobsource=jolist_c_relevance,艾斯移動股份有限公司
https://www.104.com.tw/job/6ur2n?jobsource=jolist_c_relevance,專任或兼任研究助理(中研院詞庫小組CKIP(馬偉雲老師實驗室)),https://www.104.com.tw/company/1wi8fyw?jobsource=jolist_c_relevance,中央研究院資訊科學研究所
https://www.104.com.tw/job/6icor?jobsource=jolist_c_relevance,專任研究助理(馬偉雲老師實驗室中研院詞庫小組),https://www.104.com.tw/company/1wi8fyw?jobsource=jolist_c_relevance,中央研究院資訊科學研究所
https://www.104.com.tw/job/6nmju?jobsource=jolist_c_relevance,大數據工程師,https://www.104.com.tw/company/cv8shww?jobsource=jolist_c_relevance,艾斯移動股份有限公司
https://www.104.com.tw/job/6xxpq?jobsource=jolist_c_relevance,【實習生】助理程式設計師,https://www.104.com.tw/company/aavnrjk?jobsource=jolist_c_relevance,叡揚資訊股份有限公司
https://www.104.com.tw/job/6z3ux?jobsource=landmarkPOC_C&landType=R,2020【學年實習】NB韌體工程師,https://www.104.com.tw/company/9qzgnew?jobsource=jolist_c_relevance,仁寶電腦工業股份有限公司
https://www.104.com.tw/job/4vlpf?jobsource=landmarkPOC_C&landType=R,Python 資料工程師 / 數據工程師,https://www.104.com.tw/company/1a2x6biyat?jobsource=jolist_c_relevance,玩咖旅行社股份有限公司
https://www.104.com.tw/job/6z3ux?jobsource=landmarkPOC_C&landType=R,2020【學年實習】NB韌體工程師,https://www.104.com.tw/company/9qzgnew?jobsource=jolist_c_relevance,仁寶電腦工業股份有限公司
https://www.104.com.tw/job/5sye8?jobsource=landmarkPOC_C&landType=R,實習生,https://www.104.com.tw/company/cugb5vk?jobsource=jolist_c_relevance,乒乓話網股份有限公司
https://www.104.com.tw/job/6mz7c?jobsource=landmarkPOC_C&landType=R,實習生 (Intern),https://www.104.com.tw/company/1a2x6bkurp?jobsource=jolist_c_relevance,羅傑斯人工智能股份有限公司
https://www.104.com.tw/job/6zv32?jobsource=jolist_c_relevance,影像辨識工程師-學生實習,https://www.104.com.tw/company/1a2x6bl0ew?jobsource=jolist_c_relevance,聚典資訊股份有限公司
https://www.104.com.tw/job/4vlpf?jobsource=landmarkPOC_C&landType=R,Python 資料工程師 / 數據工程師,https://www.104.com.tw/company/1a2x6biyat?jobsource=jolist_c_relevance,玩咖旅行社股份有限公司
https://www.104.com.tw/job/6ugpn?jobsource=landmarkPOC_C&landType=R,Garena 台灣-後端工程師 Back End Engineer (應屆畢業、新鮮人可),https://www.104.com.tw/company/1a2x6bkof5?jobsource=jolist_c_relevance,Garena_新加坡商競舞電競有限公司臺灣分公司
https://www.104.com.tw/job/6nmju?jobsource=jolist_c_relevance,大數據工程師,https://www.104.com.tw/company/cv8shww?jobsource=jolist_c_relevance,艾斯移動股份有限公司
https://www.104.com.tw/job/6snio?jobsource=jolist_c_relevance,【找遊戲研發?請進→】C++軟體工程師,https://www.104.com.tw/company/1a2x6bkunl?jobsource=jolist_c_relevance,馬紹爾群島商彩虹科技股份有限公司(籌備處)
https://www.104.com.tw/job/6rj5s?jobsource=jolist_c_relevance,[學生實習/工讀] 軟體工程師( Java/ Python),https://www.104.com.tw/company/cv8shww?jobsource=jolist_c_relevance,艾斯移動股份有限公司
https://www.104.com.tw/job/6nmld?jobsource=jolist_c_relevance,自然語言處理工程師 (NLP Engineer),https://www.104.com.tw/company/cv8shww?jobsource=jolist_c_relevance,艾斯移動股份有限公司
